zinc_id,smiles
ZINC000118937343,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
ZINC000169297324,COC(=O)[C@@]12OC[C@@]34[C@H]1[C@@H](OC(=O)/C=C(\C)C(C)(C)O)C(=O)O[C@@H]3C[C@H]1C(C)=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O
ZINC000029042253,CCC[C@H]1OC(=O)CCC/C=C/C(=O)[C@@H]1O
ZINC000072122999,CCc1ccc(/C(C)=C/[C@H](C)O)oc1=O
ZINC000008689949,CCCCCCCCCCCCCCCC(N)=O
ZINC000100824532,O[C@H]1C[C@H](O)[C@]2(O)N[C@@H]1C[C@H]2O
ZINC000014584027,NCCCC[C@H](N[C@@H]1O[C@@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]1O)C(=O)O
ZINC000014917636,COc1c2ccoc2c(OC[C@H](O)C(C)(C)O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c2oc(=O)ccc12
ZINC000150362352,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000001658900,C=C[C@@H](OC(C)=O)c1ccc(OC(C)=O)cc1
ZINC000085922567,CC1=C(C#C/C(C)=C\C=C\C(C)=C\C=C\C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O
ZINC000100827204,COc1ccc(-c2oc3c(OC)c(O)c(OC)c(O)c3c(=O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)cc1O
ZINC000014641906,COc1cc([C@H]2O[C@@H](c3cc(OC)c(OC)c(OC)c3)[C@@H](C)[C@@H]2C)ccc1O
ZINC000072107943,O=C(C[C@](O)(Cc1ccc(O)cc1)C(=O)O)OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
ZINC000028872592,CN(C)[C@@H]1C=CC2=CC3=CC[C@]4(C)[C@@H](c5ccc6ccncc6c5)CC[C@H]4[C@@]34CC[C@]2(C1)O4
ZINC000095615775,C=C(C)C(=O)N(C)[C@@H](C)C(=O)O[C@H]1CC(=O)N(C)c2cc(cc(OC)c2Cl)[C@@H](OC)/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]2O[C@@]12C
ZINC000029131346,CCCc1c(C/C=C(\C)C/C=C/[C@H](C)O)[nH]c(=O)c(C)c1O
ZINC000150364659,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC
ZINC000001680645,Nc1cccc2cc(S(=O)(=O)O)ccc12
ZINC000095540607,CC(=O)OC[C@]12[C@H](OC(C)=O)C(=O)[C@@H]3[C@@H](OC(C)=O)[C@@]14O[C@@]3(C)COC(=O)c1cccnc1[C@@H](C)[C@H](C)C(=O)O[C@@H]([C@H](OC(C)=O)[C@@H]2OC(C)=O)[C@]4(C)O
ZINC000095624591,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000005159004,CC(C)=CCc1cc(/C=C/C(=O)O)ccc1O
ZINC000150376810,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC
ZINC000230094061,COc1cc([C@H]2Oc3c(OC)cc(/C=C/CO)cc3[C@H]2CO)cc(OC)c1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000049872350,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@]24OC(=O)[C@@]5(CC[C@@H](C)[C@H](C)[C@H]52)CC[C@]43C)C1(C)C
ZINC000150371807,CCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC
ZINC000169292384,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C\C=C\1C
ZINC000031161071,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1C1=CC(=O)O[C@@H]1CC(=O)O
ZINC000095625032,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
ZINC000150376150,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
ZINC000038243329,C=C1[C@@H](O)C[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C1\CCOC1=O
ZINC000090556595,COP(=O)(OC)[C@@H](C)OC(=O)COc1ccc(Cl)cc1Cl
ZINC000001720908,N[C@H](c1ccccc1)P(=O)(O)O
ZINC000150374347,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
ZINC000053174598,C=C(C)[C@@H]1C[C@]2(CC=C(C)C)CC(=O)[C@@H](C(O)=C(C(=O)c3ccc(O)c(O)c3)C2=O)C1(C)C
ZINC000150373154,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC
ZINC000150360822,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000150366864,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@H]2O[C@H](CO[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H](O)[C@@H]2O)cc(O)c1O
ZINC000230095263,CC1=C[C@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@]2(C(C)C)O[C@@H]2C1
ZINC000150359795,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCCCC
ZINC000095622615,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
ZINC000015269983,C=CCCCCC[C@H]1O[C@H]1CC#CC#C[C@H](C=C)OC(=O)CCCCCCC/C=C/C/C=C/CCCCC
ZINC000000001065,Nc1nc2c(ncn2CC[C@@H](O)CO)c(=O)[nH]1
ZINC000070455322,COc1ccc(C[C@H]2c3cc(Oc4cc(C[C@H]5c6cc(O)c(OC)cc6CCN5C)ccc4O)c(OC)cc3CCN2C)cc1
ZINC000100828526,C[C@@H]1CC(S)=CS1
ZINC000095621277,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC
ZINC000095622301,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC
ZINC000100781371,C=C(C)[C@@]12C=C[C@](C)(CC1)OO2
ZINC000150376955,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC
ZINC000150359514,CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC
ZINC000001575495,C[C@H](N)C(=O)N[C@H](C)C(=O)O
ZINC000095622331,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
ZINC000044417218,N[C@@H](Cc1cc(N(CCCl)CCCl)ccc1F)C(=O)O
ZINC000095625202,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
ZINC000000120234,Cn1c(=O)[nH]c2ncn(C)c2c1=O
ZINC000000598071,CC[C@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1
